PI,MaxNReader,MeanCountReader,BruvID,FrameNumber,Location,MaxN,TimeToMaxN,MeanCountVideo,,,
Euan Harvey,Jordan,Damon,NIC-14,1,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,2,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,3,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,4,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,5,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,6,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,7,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,8,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,9,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,10,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,11,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,12,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,13,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,14,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,15,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,16,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,17,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,18,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,19,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,20,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,21,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,22,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,23,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,24,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,25,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,26,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,27,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,28,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,29,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,30,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,31,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,32,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,33,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,34,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,35,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,36,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,37,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,38,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,39,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,40,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,41,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,42,Fiji,0,0,0,,,
Euan Harvey,Jordan,Damon,NIC-14,43,Fiji,1,6.9597,1,,,
Euan Harvey,Jordan,Damon,NIC-14,44,Fiji,1,6.9597,1,,,
Euan Harvey,Jordan,Damon,NIC-14,45,Fiji,1,6.9597,1,,,
Euan Harvey,Jordan,Damon,NIC-14,46,Fiji,1,6.9597,1,,,
Euan Harvey,Jordan,Damon,NIC-14,47,Fiji,1,6.9597,1,,,
Euan Harvey,Jordan,Damon,NIC-14,48,Fiji,1,6.9597,1,,,
Euan Harvey,Jordan,Damon,NIC-14,49,Fiji,1,6.9597,1,,,
Euan Harvey,Jordan,Damon,NIC-14,50,Fiji,1,6.9597,1,,,
Euan Harvey,Jordan,Damon,NIC-14,51,Fiji,1,6.9597,1,,,
Euan Harvey,Jordan,Damon,NIC-14,52,Fiji,1,6.9597,1,,,
Euan Harvey,Jordan,Damon,NIC-14,53,Fiji,1,6.9597,1,,,
Euan Harvey,Jordan,Damon,NIC-14,54,Fiji,1,6.9597,0,,,
Euan Harvey,Jordan,Damon,NIC-14,55,Fiji,1,6.9597,0,,,
Euan Harvey,Jordan,Damon,NIC-14,56,Fiji,1,6.9597,0,,,
Euan Harvey,Jordan,Damon,NIC-14,57,Fiji,1,6.9597,1,,,
Euan Harvey,Jordan,Damon,NIC-14,58,Fiji,1,6.9597,0,,,
Euan Harvey,Jordan,Damon,NIC-14,59,Fiji,2,9.638,2,,,
Euan Harvey,Jordan,Damon,NIC-14,60,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,61,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,62,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,63,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,64,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,65,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,66,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,67,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,68,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,69,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,70,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,71,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,72,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,73,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,74,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,75,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,76,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,77,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,78,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,79,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,80,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,81,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,82,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,83,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,84,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,85,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,86,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,87,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,88,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,89,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,90,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,91,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,92,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,93,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,94,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,95,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,96,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,97,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,98,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,99,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,100,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,101,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,102,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,103,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,104,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,105,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,106,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,107,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,108,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,109,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,110,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,111,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,112,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,113,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,114,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,115,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,116,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,117,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,118,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,119,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,120,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,121,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,122,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,123,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,124,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,125,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,126,Fiji,2,9.638,1,,,
Euan Harvey,Jordan,Damon,NIC-14,127,Fiji,2,9.638,0,,,
Euan Harvey,Jordan,Damon,NIC-14,128,Fiji,2,9.638,1,,,
