PI,BruvID,Location,MaxN Reader,MeanCount Reader,FrameNumber,MaxN,TimeToMaxN,MeanCountVideo
Demian Chapman,CSCS_002,Colombia,Gina,Gina,1,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,2,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,3,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,4,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,5,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,6,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,7,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,8,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,9,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,10,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,11,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,12,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,13,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,14,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,15,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,16,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,17,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,18,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,19,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,20,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,21,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,22,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,23,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,24,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,25,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,26,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,27,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,28,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,29,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,30,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,31,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,32,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,33,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,34,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,35,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,36,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,37,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,38,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,39,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,40,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,41,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,42,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,43,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,44,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,45,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,46,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,47,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,48,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,49,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,50,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,51,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,52,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,53,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,54,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,55,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,56,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,57,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,58,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,59,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,60,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,61,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,62,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,63,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,64,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,65,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,66,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,67,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,68,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,69,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,70,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,71,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,72,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,73,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,74,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,75,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,76,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,77,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,78,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,79,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,80,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,81,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,82,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,83,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,84,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,85,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,86,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,87,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,88,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,89,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,90,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,91,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,92,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,93,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,94,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,95,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,96,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,97,0,0,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,98,1,16.33,1
Demian Chapman,CSCS_002,Colombia,Gina,Gina,99,1,16.33,1
Demian Chapman,CSCS_002,Colombia,Gina,Gina,100,1,16.33,1
Demian Chapman,CSCS_002,Colombia,Gina,Gina,101,1,16.33,1
Demian Chapman,CSCS_002,Colombia,Gina,Gina,102,1,16.33,1
Demian Chapman,CSCS_002,Colombia,Gina,Gina,103,1,16.33,1
Demian Chapman,CSCS_002,Colombia,Gina,Gina,104,1,16.33,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,105,1,16.33,1
Demian Chapman,CSCS_002,Colombia,Gina,Gina,106,1,16.33,1
Demian Chapman,CSCS_002,Colombia,Gina,Gina,107,1,16.33,1
Demian Chapman,CSCS_002,Colombia,Gina,Gina,108,1,16.33,1
Demian Chapman,CSCS_002,Colombia,Gina,Gina,109,1,16.33,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,110,1,16.33,1
Demian Chapman,CSCS_002,Colombia,Gina,Gina,111,1,16.33,1
Demian Chapman,CSCS_002,Colombia,Gina,Gina,112,1,16.33,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,113,1,16.33,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,114,1,16.33,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,115,1,16.33,1
Demian Chapman,CSCS_002,Colombia,Gina,Gina,116,1,16.33,1
Demian Chapman,CSCS_002,Colombia,Gina,Gina,117,1,16.33,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,118,1,16.33,1
Demian Chapman,CSCS_002,Colombia,Gina,Gina,119,1,16.33,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,120,1,16.33,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,121,1,16.33,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,122,1,16.33,1
Demian Chapman,CSCS_002,Colombia,Gina,Gina,123,1,16.33,0
Demian Chapman,CSCS_002,Colombia,Gina,Gina,124,1,16.33,1
Demian Chapman,CSCS_002,Colombia,Gina,Gina,125,1,16.33,1
Demian Chapman,CSCS_002,Colombia,Gina,Gina,126,1,16.33,1
