PI,MaxNReader,MeanCountReader,BruvID,FrameNumber,Location,MaxN,TimeToMaxN,MeanCountVideo
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,1,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,2,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,3,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,4,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,5,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,6,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,7,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,8,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,9,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,10,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,11,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,12,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,13,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,14,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,15,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,16,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,17,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,18,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,19,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,20,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,21,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,22,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,23,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,24,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,25,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,26,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,27,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,28,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,29,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,30,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,31,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,32,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,33,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,34,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,35,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,36,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,37,French Polynesia,9,35.53,3
