FP_location_id,FP_location_name,CoastLength,FP_location_code,EPI,Ehealth,EcoVitality,EPI_location_name,TradeHub,GINI_location_name,GINI_year,GINI,HDI_location_name,HDI_year,HDI,WGI_location_name,Voice_Accountability_year,Voice_Accountability,Government_Effectiveness_year,Government_Effectiveness,Regulatory_Quality_year,Regulatory_Quality,Rule_of_Law_year,Rule_of_Law,Control_Corruption_year,Control_Corruption,GDP_location_name,GDP_year,GDP_per_capita_USD,Population_location_name,Population_year,Population,SAUP_EEZ_name,Catch_year,Total_catch_tonnes,Total_catch_reported_only,Total_catch_value,Reef_catch_tonnes,Reef_catch_value,Tuna_catch_tonnes,Tuna_catch_value,Reefshark_catch_tonnes,Reefshark_catch_value,Shark_catch_tonnes,Shark_catch_value,Bechedemer_catch_tonnes,Bechedemer_catch_value,colin_SAUP_reef_sharks_catch_2016-2014,tax_haven,Shark_Sanctuary
72,American Samoa,116.00,AS,,,,,0,American Samoa,,-999,United States,2015,0.92,American Samoa,2016,1.103929162,2016,0.531471789,2016,0.136647478,2016,1.32824564,2016,1.230340838,American Samoa,2016,11834.74523,American Samoa,2016,55599,American Samoa,2009-2014,8772.570857,7098.633653,22807189.71,1525.410432,2945229.64,5699.860295,17731819.29,129.8951826,189968.0589,922.7563254,1401569.998,0,0,142.1130807,1,0
115,Antigua and Barbuda,153.00,AG,59.18,76.53,47.61,Antigua and Barbuda,0,Antigua and Barbuda,,-999,Antigua and Barbuda,2015,0.786,Antigua and Barbuda,2016,0.646017194,2016,0.26572603,2016,0.341370732,2016,0.509351373,2016,0.692292392,Antigua and Barbuda,2016,14462.17628,Antigua and Barbuda,2016,100963,Antigua & Barbuda,2009-2014,4525.436215,3806.023706,13620815.54,1532.544001,9750115.524,49.45823863,144280.2847,0,0,53.07267285,72022.45129,0,0,#N/A,1,0
,Australia IOT,74.10,AU-I,74.12,97.95,58.23,Australia IOT,0,Australia,2014,35.8,Australia,2015,0.939,Australia,2016,1.300534725,2016,1.584797382,2016,1.897101283,2016,1.752019286,2016,1.770847321,Australia,2016,49755.31548,Australia,2016,24127159,Australia,2009-2014,183231.9823,135948.0497,1082049379,45450.05135,270803344.8,17583.85811,64038265.4,1020.379785,1563714.648,9143.549442,29618098.6,1204.394097,3035073.124,66347.90523,0,0
85,Australia-Indian Ocean,12880.00,AU-I,74.12,97.95,58.23,Australia-Indian Ocean,1,Australia,2014,35.8,Australia,2015,0.939,Australia,2016,1.300534725,2016,1.584797382,2016,1.897101283,2016,1.752019286,2016,1.770847321,Australia,2016,49755.31548,Australia,2016,24127159,Australia,2009-2014,183231.9823,135948.0497,1082049379,45450.05135,270803344.8,17583.85811,64038265.4,1020.379785,1563714.648,9143.549442,29618098.6,1204.394097,3035073.124,66347.90523,0,0
73,Australia-Pacific,12880.00,AU-P,74.12,97.95,58.23,Australia-Pacific,1,Australia,2014,35.8,Australia,2015,0.939,Australia,2016,1.300534725,2016,1.584797382,2016,1.897101283,2016,1.752019286,2016,1.770847321,Australia,2016,49755.31548,Australia,2016,24127159,Australia,2009-2014,183231.9823,135948.0497,1082049379,45450.05135,270803344.8,17583.85811,64038265.4,1020.379785,1563714.648,9143.549442,29618098.6,1204.394097,3035073.124,66347.90523,0,0
3,Bahamas,3542.00,BS,54.99,73.68,42.52,Bahamas,0,"Bhamas, The",,-999,Bahamas,2015,0.792,"Bahamas, The",2016,0.940302491,2016,0.717308939,2016,0.257599503,2016,0.229195848,2016,1.134529352,"Bahamas, The",2016,28785.47767,"Bahamas, The",2016,391232,Bahamas,2009-2014,22395.47123,13990.31702,130562982.5,12757.0943,112422331.1,1285.714685,1884857.728,0,0,153.1136563,127228.8611,0,0,75.32366572,1,1
10,Barbados,97.00,BB,55.76,84.73,36.45,Barbados,0,Barbados,,-999,Barbados,2015,0.795,Barbados,2016,1.104338765,2016,1.082464218,2016,0.481005102,2016,0.784002125,2016,1.243498683,Barbados,2016,15891.62655,Barbados,2016,284996,Barbados,2009-2014,4785.721343,2532.173134,5447632.682,649.2083632,1077854.952,316.7533848,447491.7344,0,0,138.3841548,73324.16868,0,0,1298.728143,1,0
1,Belize,386.00,BZ,57.79,65.09,52.93,Belize,0,Belize,1999,53.3,Belize,2015,0.706,Belize,2016,0.669242859,2016,-0.676089704,2016,-0.51242882,2016,-0.86176306,2016,-0.24498421,Belize,2016,4744.736397,Belize,2016,366954,Belize,2009-2014,7728.410136,4666.049394,12594139.11,2746.67807,8934483.472,1.001695353,1192.01747,429.5054577,233838.1408,1666.799394,1109651.277,0,0,7242.997333,1,0
123,Bermuda,103.00,DR,,,,,0,Bermuda,,-999,United Kingdom,2015,0.91,Bermuda,2013,1,2016,1.33,2016,0.87,,,,,Bermuda,2013,85748.06541,Bermuda,2016,65331,Bermuda (UK),2009-2014,917.8907954,604.7895586,5900311.639,541.1808961,4297590.021,192.9687469,1150875.317,1.085713639,4423.13931,6.355069924,15590.25318,0,0,,1,0
75,Brazil,7491.00,BR,60.7,67.44,56.21,Brazil,1,Brazil,2018,53.3,Brazil,2015,0.754,Brazil,2016,0.46903652,2016,-0.175861731,2016,-0.20738399,2016,-0.08087071,2016,-0.443444788,Brazil,2016,8649.948492,Brazil,2016,207652865,"Brazil (mainland), Fernando de Noronha (Brazil), Trindade & Martim Vaz Isl. (Brazil), St Paul and St. Peter Archipelago (Brazil)",2009-2014,889528.7905,539584.6563,2322749048,142139.9832,565454652.2,40052.56601,112772900.8,374.0858229,616004.2956,87841.47616,206236483.4,0,0,#N/A,0,0
111,British West Indies,80.00,BWI,,,,,0,British Virgin Islands,,-999,United Kingdom,2015,0.91,United Kingdom,2016,1.23711884,2016,1.610874891,2016,1.760832429,2016,1.626928091,2016,1.880499959,United Kingdom,2016,40367.03784,United Kingdom,2016,65637239,Montserrat (UK),2009-2014,56.16001028,36.62615779,167628.8315,18.52438196,88476.42592,3.06095056,9095.406938,0.086534537,147.7369494,0.217008543,285.0707119,0,0,#N/A,1,0
8,Cayman Islands,160.00,KY,,,,,0,Cayman Islands,,-999,United Kingdom,2015,0.91,Cayman Islands,2016,0.474082291,2016,1.177957296,2016,0.787406087,2016,0.781872988,2016,0.533327401,Cayman Islands,2006,64100.9077,Cayman Islands,2016,60765,Cayman Isl. (UK),2009-2014,161.418042,111.9694302,359974.6173,99.57502228,294796.2336,23.74733337,34813.59072,0,0,33.49696483,26310.94923,0,0,#N/A,1,1
