,Freq,Count
0,0.73785,0
1,0.2151,1
2,0.04,2
3,0.0063,3
4,0.00045,4
5,0.00025,5
6,5e-05,6
7,0.0,7
8,0.0,8
9,0.0,9
10,0.0,10
11,0.678,0
12,0.2515,1
13,0.05825,2
14,0.01035,3
15,0.00175,4
16,0.00015,5
17,0.0,6
18,0.0,7
19,0.0,8
20,0.0,9
21,0.0,10
22,0.72565,0
23,0.22555,1
24,0.04215,2
25,0.00565,3
26,0.00075,4
27,0.00015,5
28,5e-05,6
29,5e-05,7
30,0.0,8
31,0.0,9
32,0.0,10
33,0.68205,0
34,0.24785,1
35,0.05725,2
36,0.0108,3
37,0.0017,4
38,0.00035,5
39,0.0,6
40,0.0,7
41,0.0,8
42,0.0,9
43,0.0,10
44,0.6983,0
45,0.24195,1
46,0.0502,2
47,0.00765,3
48,0.00175,4
49,0.00015,5
50,0.0,6
51,0.0,7
52,0.0,8
53,0.0,9
54,0.0,10
55,0.2368118405920296,0
56,0.3105655282764138,1
57,0.2249612480624031,2
58,0.12420621031051553,3
59,0.06220311015550777,4
60,0.025801290064503227,5
61,0.010150507525376268,6
62,0.0032501625081254064,7
63,0.001400070003500175,8
64,0.00040002000100005,9
65,0.00025001250062503126,10
66,0.27555,0
67,0.3175,1
68,0.21965,2
69,0.1109,3
70,0.04615,4
71,0.0193,5
72,0.00765,6
73,0.0026,7
74,0.0004,8
75,0.0002,9
76,0.0001,10
77,0.2232611630581529,0
78,0.303865193259663,1
79,0.23466173308665433,2
80,0.13155657782889144,3
81,0.06185309265463273,4
82,0.027651382569128455,5
83,0.011300565028251412,6
84,0.0038501925096254812,7
85,0.0015500775038751937,8
86,0.00040002000100005,9
87,5.000250012500625e-05,10
88,0.2279341901285193,0
89,0.3017452617892684,1
90,0.22688403260489073,2
91,0.13236985547832175,3
92,0.06771015652347852,4
93,0.02565384807721158,5
94,0.011551732759913988,6
95,0.004350652597889683,7
96,0.0012001800270040506,8
97,0.0004000600090013502,9
98,0.0002000300045006751,10
99,0.27145,0
100,0.32085,1
101,0.2236,2
102,0.10995,3
103,0.04605,4
104,0.01925,5
105,0.00615,6
106,0.002,7
107,0.0004,8
108,0.00015,9
109,0.00015,10
110,0.55155,0
111,0.2645,1
112,0.1205,2
113,0.044,3
114,0.0143,4
115,0.00395,5
116,0.00095,6
117,0.00015,7
118,5e-05,8
119,0.0,9
120,5e-05,10
121,0.4937,0
122,0.2611,1
123,0.14745,2
124,0.06315,3
125,0.02305,4
126,0.00805,5
127,0.0026,6
128,0.0006,7
129,0.00025,8
130,5e-05,9
131,0.0,10
132,0.5145,0
133,0.26375,1
134,0.1369,2
135,0.0576,3
136,0.0199,4
137,0.0053,5
138,0.0016,6
139,0.00035,7
140,0.0001,8
141,0.0,9
142,0.0,10
143,0.47967398369918496,0
144,0.2583129156457823,1
145,0.15300765038251912,2
146,0.06840342017100855,3
147,0.026751337566878343,4
148,0.009800490024501224,5
149,0.002550127506375319,6
150,0.00120006000300015,7
151,0.00015000750037501875,8
152,0.0001000050002500125,9
153,5.000250012500625e-05,10
154,0.48765,0
155,0.2626,1
156,0.1485,2
157,0.06625,3
158,0.02295,4
159,0.00835,5
160,0.00265,6
161,0.00085,7
162,0.0001,8
163,5e-05,9
164,5e-05,10
165,0.7928,0
166,0.1798,1
167,0.0242,2
168,0.00285,3
169,0.0003,4
170,5e-05,5
171,0.0,6
172,0.0,7
173,0.0,8
174,0.0,9
175,0.0,10
176,0.79945,0
177,0.17345,1
178,0.02425,2
179,0.00245,3
180,0.0004,4
181,0.0,5
182,0.0,6
183,0.0,7
184,0.0,8
185,0.0,9
186,0.0,10
187,0.4194,0
188,0.3387,1
189,0.1618,2
190,0.0564,3
191,0.0167,4
192,0.00505,5
193,0.00155,6
194,0.0004,7
195,0.0,8
196,0.0,9
197,0.0,10
198,0.3768188409420471,0
199,0.34141707085354267,1
200,0.17860893044652232,2
201,0.07050352517625881,3
202,0.0224011200560028,4
203,0.0075003750187509375,5
204,0.001800090004500225,6
205,0.0008000400020001,7
206,0.00015000750037501875,8
207,0.0,9
208,0.0,10
209,0.3673683684184209,0
210,0.335966798339917,1
211,0.18210910545527276,2
212,0.07645382269113456,3
213,0.027551377568878443,4
214,0.007900395019750988,5
215,0.001800090004500225,6
216,0.0007500375018750937,7
217,0.0001000050002500125,8
218,0.0,9
219,0.0,10
220,0.4365,0
221,0.3315,1
222,0.1573,2
223,0.05445,3
224,0.01495,4
225,0.0036,5
226,0.00105,6
227,0.0005,7
228,0.00015,8
229,0.0,9
230,0.0,10
231,0.3943,0
232,0.34175,1
233,0.1672,2
234,0.0657,3
235,0.0221,4
236,0.00695,5
237,0.0016,6
238,0.00035,7
239,5e-05,8
240,0.0,9
241,0.0,10
242,0.3386,0
243,0.33795,1
244,0.18685,2
245,0.08795,3
246,0.03245,4
247,0.0117,5
248,0.00325,6
249,0.00095,7
250,0.00025,8
251,0.0,9
252,5e-05,10
253,0.32655,0
254,0.3334,1
255,0.1983,2
256,0.09225,3
257,0.0332,4
258,0.01145,5
259,0.0036,6
260,0.0007,7
261,0.00045,8
262,0.0,9
263,0.0001,10
264,0.3576,0
265,0.33965,1
266,0.18585,2
267,0.077,3
268,0.0275,4
269,0.0091,5
270,0.0022,6
271,0.00085,7
272,0.0002,8
273,5e-05,9
274,0.0,10
275,0.3588,0
276,0.3368,1
277,0.1836,2
278,0.07695,3
279,0.03055,4
280,0.0091,5
281,0.00275,6
282,0.00105,7
283,0.00035,8
284,5e-05,9
285,0.0,10
286,0.3306,0
287,0.33495,1
288,0.19705,2
289,0.08545,3
290,0.03405,4
291,0.0124,5
292,0.00395,6
293,0.0013,7
294,0.00015,8
295,5e-05,9
296,5e-05,10
297,0.39535,0
298,0.3372,1
299,0.16895,2
300,0.06555,3
301,0.0228,4
302,0.0071,5
303,0.0022,6
304,0.0006,7
305,0.00025,8
306,0.0,9
307,0.0,10
308,0.3857,0
309,0.33355,1
310,0.17785,2
311,0.06955,3
312,0.0226,4
313,0.00765,5
314,0.00225,6
315,0.00065,7
316,0.0002,8
317,0.0,9
318,0.0,10
319,0.38035,0
320,0.33785,1
321,0.17625,2
322,0.0706,3
323,0.02455,4
324,0.00765,5
325,0.0018,6
326,0.0006,7
327,0.0002,8
328,0.00015,9
329,0.0,10
330,0.39925,0
331,0.33765,1
332,0.16485,2
333,0.0671,3
334,0.0214,4
335,0.0071,5
336,0.00175,6
337,0.00075,7
338,0.0001,8
339,5e-05,9
340,0.0,10
341,0.4261,0
342,0.3318,1
343,0.159,2
344,0.0577,3
345,0.0186,4
346,0.00445,5
347,0.00165,6
348,0.00065,7
349,5e-05,8
350,0.0,9
351,0.0,10
352,0.36125,0
353,0.3352,1
354,0.18625,2
355,0.0764,3
356,0.028,4
357,0.0092,5
358,0.0025,6
359,0.0008,7
360,0.0003,8
361,0.0001,9
362,0.0,10
363,0.3493,0
364,0.3328,1
365,0.18745,2
366,0.08525,3
367,0.0313,4
368,0.0097,5
369,0.00255,6
370,0.0011,7
371,0.0003,8
372,0.00015,9
373,0.0001,10
374,0.3356,0
375,0.33395,1
376,0.19165,2
377,0.088,3
378,0.0341,4
379,0.01095,5
380,0.00425,6
381,0.00115,7
382,0.0003,8
383,0.0,9
384,5e-05,10
385,0.3464,0
386,0.32725,1
387,0.19255,2
388,0.08835,3
389,0.0308,4
390,0.0102,5
391,0.00295,6
392,0.0011,7
393,0.0003,8
394,0.0001,9
395,0.0,10
396,0.3483,0
397,0.33605,1
398,0.182,2
399,0.0864,3
400,0.031,4
401,0.011,5
402,0.00385,6
403,0.00105,7
404,0.0003,8
405,5e-05,9
406,0.0,10
407,0.3394,0
408,0.3342,1
409,0.19505,2
410,0.08225,3
411,0.0318,4
412,0.01235,5
413,0.0035,6
414,0.0011,7
415,0.0002,8
416,0.00015,9
417,0.0,10
418,0.36665,0
419,0.3385,1
420,0.1832,2
421,0.07505,3
422,0.02465,4
423,0.0087,5
424,0.00245,6
425,0.0008,7
426,0.0,8
427,0.0,9
428,0.0,10
429,0.38605,0
430,0.33445,1
431,0.1769,2
432,0.0689,3
433,0.023,4
434,0.0082,5
435,0.00185,6
436,0.00045,7
437,0.00015,8
438,5e-05,9
439,0.0,10
440,0.37045,0
441,0.34125,1
442,0.1755,2
443,0.0742,3
444,0.02705,4
445,0.00825,5
446,0.00235,6
447,0.00075,7
448,0.0002,8
449,0.0,9
450,0.0,10
451,0.39555,0
452,0.33795,1
453,0.1713,2
454,0.0645,3
455,0.0208,4
456,0.00655,5
457,0.0026,6
458,0.00045,7
459,0.0002,8
460,0.0001,9
461,0.0,10
462,0.36045,0
463,0.33565,1
464,0.1839,2
465,0.0771,3
466,0.0294,4
467,0.00885,5
468,0.0034,6
469,0.00085,7
470,0.0002,8
471,0.0002,9
472,0.0,10
473,0.3648,0
474,0.3348,1
475,0.1836,2
476,0.0767,3
477,0.02705,4
478,0.0092,5
479,0.00275,6
480,0.0007,7
481,0.00025,8
482,0.0001,9
483,5e-05,10
484,0.3636,0
485,0.335,1
486,0.18865,2
487,0.07335,3
488,0.02715,4
489,0.00795,5
490,0.0031,6
491,0.00095,7
492,0.0001,8
493,0.00015,9
494,0.0,10
495,0.36565,0
496,0.33185,1
497,0.18425,2
498,0.07555,3
499,0.02975,4
500,0.00935,5
501,0.00275,6
502,0.00065,7
503,5e-05,8
504,5e-05,9
505,0.0001,10
506,0.33885,0
507,0.33855,1
508,0.18665,2
509,0.0867,3
510,0.034,4
511,0.01025,5
512,0.00315,6
513,0.00105,7
514,0.0007,8
515,5e-05,9
516,5e-05,10
517,0.9181,0
518,0.0768,1
519,0.0049,2
520,0.0002,3
521,0.0,4
522,0.0,5
523,0.0,6
524,0.0,7
525,0.0,8
526,0.0,9
527,0.0,10
528,0.9751,0
529,0.0241,1
530,0.0008,2
531,0.0,3
532,0.0,4
533,0.0,5
534,0.0,6
535,0.0,7
536,0.0,8
537,0.0,9
538,0.0,10
539,0.97865,0
540,0.021,1
541,0.00035,2
542,0.0,3
543,0.0,4
544,0.0,5
545,0.0,6
546,0.0,7
547,0.0,8
548,0.0,9
549,0.0,10
550,0.97155,0
551,0.02785,1
552,0.0006,2
553,0.0,3
554,0.0,4
555,0.0,5
556,0.0,6
557,0.0,7
558,0.0,8
559,0.0,9
560,0.0,10
561,0.97795,0
562,0.02165,1
563,0.0004,2
564,0.0,3
565,0.0,4
566,0.0,5
567,0.0,6
568,0.0,7
569,0.0,8
570,0.0,9
571,0.0,10
572,0.9806,0
573,0.0192,1
574,0.0002,2
575,0.0,3
576,0.0,4
577,0.0,5
578,0.0,6
579,0.0,7
580,0.0,8
581,0.0,9
582,0.0,10
583,0.97575,0
584,0.0239,1
585,0.00035,2
586,0.0,3
587,0.0,4
588,0.0,5
589,0.0,6
