Location,Reef_ID,Region
USA-Western Atlantic,108,Western Atlantic
Bahamas,74,Western Atlantic
Australia-Pacific,226,Central Pacific
Australia IOT,357,Indian Ocean
Maldives,180,Indian Ocean
Bahamas,64,Western Atlantic
Malaysia,327,Western Pacific
Malaysia,402,Western Pacific
Australia IOT,400,Indian Ocean
Solomon Islands,328,Western Pacific
Bahamas,60,Western Atlantic
Bahamas,61,Western Atlantic
USA-Western Atlantic,100,Western Atlantic
Indonesia,343,Western Pacific
Indonesia,401,Western Pacific
Indonesia,403,Western Pacific
Indonesia,340,Western Pacific
Malaysia,368,Western Pacific
Malaysia,399,Western Pacific
Solomon Islands,418,Western Pacific
Solomon Islands,345,Western Pacific
Maldives,432,Indian Ocean
Maldives,181,Indian Ocean
Maldives,433,Indian Ocean
Maldives,434,Indian Ocean
Australia-Pacific,423,Central Pacific
Australia-Pacific,372,Central Pacific
Palau,375,Central Pacific
Palau,398,Central Pacific
Palau,429,Central Pacific
Palau,430,Central Pacific
Australia-Pacific,227,Central Pacific
Australia-Pacific,228,Central Pacific
Australia-Pacific,229,Central Pacific
Australia-Pacific,230,Central Pacific
Australia-Pacific,231,Central Pacific
Australia-Pacific,232,Central Pacific
Australia-Pacific,233,Central Pacific
American Samoa,235,Central Pacific
American Samoa,234,Central Pacific
New Caledonia,458,Central Pacific
New Caledonia,460,Central Pacific
New Caledonia,459,Central Pacific
New Caledonia,334,Central Pacific
New Caledonia,393,Central Pacific
USA-Western Atlantic,105,Western Atlantic
USA-Western Atlantic,109,Western Atlantic
USA-Western Atlantic,110,Western Atlantic
Bahamas,66,Western Atlantic
Bahamas,67,Western Atlantic
Bahamas,68,Western Atlantic
Bahamas,56,Western Atlantic
Belize,159,Western Atlantic
Belize,160,Western Atlantic
Belize,40,Western Atlantic
Bahamas,72,Western Atlantic
Bahamas,73,Western Atlantic
Belize,43,Western Atlantic
Belize,50,Western Atlantic
Jamaica,172,Western Atlantic
Jamaica,173,Western Atlantic
Trinidad and Tobago,91,Western Atlantic
Indonesia,353,Western Pacific
Indonesia,407,Western Pacific
Indonesia,352,Western Pacific
Indonesia,406,Western Pacific
Indonesia,453,Western Pacific
Vanuatu,349,Central Pacific
Vanuatu,425,Central Pacific
Vanuatu,363,Central Pacific
Vanuatu,426,Central Pacific
Jamaica,174,Western Atlantic
Bahamas,457,Western Atlantic
Bahamas,55,Western Atlantic
Bahamas,57,Western Atlantic
Bahamas,489,Western Atlantic
Trinidad and Tobago,162,Western Atlantic
British West Indies,491,Western Atlantic
Fiji,482,Central Pacific
Fiji,604,Central Pacific
Bahamas,490,Western Atlantic
Trinidad and Tobago,92,Western Atlantic
Colombia,478,Western Atlantic
Colombia,479,Western Atlantic
Colombia,480,Western Atlantic
Colombia,481,Western Atlantic
