location_name,1,2,3,4,5,6,7,8,9,10,11,12,Start Date,End Date
American Samoa,0,0,0,103,0,0,0,0,0,0,0,0,2016-04-06,2016-04-06
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,79,2016-12-05,2016-12-05
Australia IOT,128,0,99,99,255,169,0,0,148,0,0,0,2013-05-14,2013-05-14
Australia-Indian Ocean,0,0,0,53,217,0,0,430,696,458,0,75,2010-10-01,2010-10-01
Australia-Pacific,150,12,0,129,65,1,0,0,0,0,219,0,2013-04-22,2013-04-22
Bahamas,60,13,21,5,224,112,126,186,7,2,5,3,2015-01-06,2015-01-06
Barbados,0,0,0,0,0,47,63,0,0,0,0,0,2017-06-23,2017-06-23
Belize,88,0,0,41,86,156,76,0,0,0,63,39,2009-06-21,2009-06-21
Bermuda,0,0,0,0,0,24,0,0,0,0,0,0,2018-06-24,2018-06-24
Brazil,37,45,0,0,0,0,32,0,0,0,78,0,2017-07-21,2017-07-21
British West Indies,0,0,0,0,0,0,0,0,0,0,42,0,2016-11-26,2016-11-26
Colombia,0,0,0,0,0,0,0,0,49,140,0,0,2016-09-23,2016-09-23
Columbia SF,36,0,0,0,0,0,0,0,40,0,0,0,2017-09-20,2017-09-20
Cook Islands,48,0,0,48,54,0,0,0,0,0,0,0,2017-01-17,2017-01-17
Cuba,0,17,0,107,5,20,32,10,0,50,0,0,2016-06-24,2016-06-24
Dominican Republic,0,0,0,0,0,0,34,0,29,0,26,31,2017-07-14,2017-07-14
Dutch Antilles Leeward,40,66,15,0,0,3,0,0,67,110,129,10,2016-02-24,2016-02-24
Dutch Antilles Windward,88,0,41,57,16,23,3,30,39,80,69,15,2012-01-01,2012-01-01
Federated States of Micronesia,0,0,189,0,0,0,0,0,0,0,0,0,2017-03-04,2017-03-04
Fiji,0,0,0,0,264,33,0,0,28,55,12,0,2009-05-11,2009-05-11
French Polynesia,0,72,117,154,98,147,0,0,38,38,175,223,2016-11-11,2016-11-11
French West Indies,0,0,0,5,15,11,50,48,0,0,3,0,2016-04-08,2016-04-08
Guam,0,31,0,0,0,0,71,11,0,69,0,0,2010-02-17,2010-02-17
India,27,0,0,0,0,0,0,0,0,0,42,0,2017-11-27,2017-11-27
Indonesia,3,6,363,193,8,10,212,154,7,5,8,6,2016-03-24,2016-03-24
Jamaica,23,0,0,24,0,0,0,0,0,35,24,0,2016-01-11,2016-01-11
Jamaica PB,0,0,0,0,50,0,0,0,0,0,0,0,2017-05-09,2017-05-09
Japan,0,0,0,0,105,0,0,0,0,0,0,0,2017-05-11,2017-05-11
Kenya,0,0,0,0,0,0,0,0,0,0,0,80,2017-12-01,2017-12-01
Kiribati,0,0,0,0,108,0,0,0,0,0,0,0,2017-05-18,2017-05-18
Madagascar,0,0,0,0,57,115,117,0,0,0,0,0,2016-05-16,2016-05-16
Malaysia,0,106,98,0,0,0,0,0,0,0,129,146,2015-11-15,2015-11-15
Maldives,0,0,0,0,135,66,0,0,0,0,0,0,2016-05-20,2016-05-20
Mayotte,0,0,0,0,0,0,0,0,0,114,0,0,2017-10-16,2017-10-16
Mozambique,0,0,0,0,0,33,20,150,0,0,0,0,2016-08-09,2016-08-09
New Caledonia,1,0,0,0,0,83,63,0,0,0,0,0,2016-01-07,2016-01-07
New Zealand,0,0,0,0,0,0,0,11,5,0,0,0,2017-08-31,2017-08-31
Niue,0,0,0,0,0,0,0,0,36,53,0,0,2016-09-27,2016-09-27
Palau,0,0,0,0,60,155,0,0,0,0,0,0,2016-05-29,2016-05-29
Papua New Guinea,0,0,0,0,0,0,0,0,97,200,0,0,2017-09-25,2017-09-25
Philippines,20,63,63,32,87,42,0,0,0,0,0,0,2016-01-16,2016-01-16
Puerto Rico,0,15,24,0,0,16,0,22,0,0,0,0,2017-06-14,2017-06-14
Qatar,34,0,0,0,7,18,0,0,40,0,0,27,2016-12-14,2016-12-14
Samoa,0,0,0,0,0,0,0,98,0,0,0,0,2017-08-02,2017-08-02
Saudi Arabia-Red Sea,0,0,0,0,0,0,0,0,0,0,16,85,2017-11-29,2017-11-29
Seychelles,2,35,0,35,25,0,0,0,0,0,0,0,2017-01-20,2017-01-20
Solomon Islands,0,0,0,0,0,0,0,0,0,105,0,0,2015-10-19,2015-10-19
South Africa,0,0,0,0,0,40,0,0,0,0,116,0,2016-11-02,2016-11-02
Sri Lanka,0,0,0,78,75,0,0,0,0,0,0,0,2017-04-05,2017-04-05
Taiwan,0,0,0,180,0,0,0,0,0,0,0,0,2017-04-04,2017-04-04
Tanzania,0,0,93,0,0,0,0,0,0,0,0,0,2017-03-15,2017-03-15
Tonga,0,0,0,0,0,0,0,24,0,0,0,0,2017-08-28,2017-08-28
Trinidad and Tobago,47,20,9,0,10,0,4,0,0,44,45,0,2016-01-06,2016-01-06
Turks and Caicos,14,1,1,6,3,2,0,0,0,1,6,3,2015-10-17,2015-10-17
USA-Pacific,5,5,1,84,50,1,2,7,210,1,2,1,2012-01-10,2012-01-10
USA-Western Atlantic,0,0,0,38,62,107,65,28,0,0,0,0,2013-06-22,2013-06-22
Vanuatu,0,0,0,0,0,0,0,0,100,108,0,0,2016-09-24,2016-09-24
Vietnam,0,0,0,0,0,0,70,0,0,29,13,0,2017-07-12,2017-07-12
